"bog","plantX","plantY"
"CCF",3955,3159
"CCF",4047,2448
"CCF",4069,6040
"CCF",4094,673
"CCF",4859,5075
"CCF",4877,5423
"CCF",4963,9918
"CCF",4973,6988
"CCF",5025,3479
"CCF",5073,7709
"CCF",5359,3801
"CCF",5370,3771
"CCF",5658,9293
"CCF",5669,5859
"CCF",5730,9468
"CCF",5819,9799
"CCF",5868,6539
"CCF",6149,1040
"CCF",6201,1911
"CCF",6369,1026
"CCF",6398,7666
"CCF",6768,5425
"CCF",6773,2466
"CCF",6865,6457
"CCF",7000,2240
"CCF",7280,1175
"CCF",7503,10464
"CCF",7519,8210
"CCF",7836,2496
"CCF",7849,8854
"CCF",7982,4129
"CCF",8072,7946
"CCF",8078,1443
"CCF",8176,4543
"CCF",8207,2319
"CCF",8246,7315
"CCF",8492,3237
"CCF",8914,2169
"CCF",8920,8850
"CCF",8932,7188
"CCF",9144,1240
"CCF",9273,3901
"CCF",9325,5131
"CCF",9718,8103
"CCF",9784,4838
"CCF",9835,8714
"CCF",9939,1841
"CCF",9946,9483
"CCF",10006,960
"CCF",10090,6856
"CCF",10293,5938
"CCF",10343,3645
"CHI",746,9479
"CHI",892,8856
"CHI",960,2970
"CHI",994,6680
"CHI",1001,6029
"CHI",1024,7721
"CHI",1040,2124
"CHI",1061,1051
"CHI",1123,4170
"CHI",1460,5400
"CHI",1694,8743
"CHI",1799,4195
"CHI",1803,8184
"CHI",1905,2141
"CHI",1910,4641
"CHI",1918,2851
"CHI",1932,7073
"CHI",1961,845
"CHI",2136,5937
"CHI",2679,10169
"CHI",2689,6782
"CHI",2750,9013
"CHI",2908,2118
"CHI",2953,6110
"CHI",3070,4261
"CHI",3077,5238
"CHI",3130,2998
"CHI",3144,9861
"CHI",3160,8205
"CHI",3212,802
"CHI",3372,6878
"CHI",3696,8129
"CHI",3835,1041
"CHI",3918,4732
"CHI",3972,3399
"CHI",4038,9918
"CHI",4070,9121
"CHI",4086,3948
"CHI",4099,2185
"CHI",4510,6000
"CHI",4571,6835
"CHI",4581,1646
"CHI",4724,7671
"CHI",4740,8766
"CHI",4894,5773
"CHI",4944,2171
"CHI",4990,4039
"CHI",4993,3140
"CHI",5132,5258
"CHI",5818,10057
"CHI",5881,10053
"CHI",5883,6057
"CHI",5884,5078
"CHI",5929,7781
"CHI",5981,3731
"CHI",6025,3016
"CHI",6038,7237
"CHI",6154,1816
"CHI",6359,876
"CHI",6640,1748
"CHI",6754,5085
"CHI",6801,3976
"CHI",6819,9142
"CHI",6853,8655
"CHI",7041,971
"CHI",7051,6796
"CHI",7085,7723
"CHI",7099,3099
"CHI",7227,6165
"CHI",7617,2147
"CHI",7714,8045
"CHI",7746,9772
"CHI",7748,3097
"CHI",7820,8700
"CHI",7827,9628
"CHI",8017,3680
"CHI",8017,6010
"CHI",8020,5128
"CHI",8094,7409
"CHI",8167,455
"CHI",8700,3820
"CHI",8790,1864
"CHI",8801,6932
"CHI",8834,6618
